County,License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,Square Footage,Longitude,Latitude,,Street Address
New York,625121,Store,A,RITE AID OF NEW YORK INC,RITE AID PHARMACY 04688,1849,2ND AVE,,,NEW YORK,NY,10128,3500,-73.947284,40.783977,,1849 2ND AVE
New York,625120,Store,A,RITE AID OF NEW YORK INC,RITE AID PHARMACY 04798,2155,3RD AVE,,,NEW YORK,NY,10035,20000,-73.939202,40.799065,,2155 3RD AVE
New York,625119,Store,A,RITE AID OF NEW YORK INC,RITE AID PHARMACY 04185,3539,BROADWAY,,,NEW YORK,NY,10031,6000,-73.950713,40.826224,,3539 BROADWAY
New York,625111,Store,A,RITE AID OF NEW YORK INC,RITE AID PHARMACY 04189,741,COLUMBUS AVE,,,NEW YORK,NY,10025,1250,-73.96727,40.793199,,741 COLUMBUS AVE
New York,625110,Store,A,RITE AID OF NEW YORK INC,RITE AID PHARMACY 04195,282,8TH AVE,,,NEW YORK,NY,10001,8300,-73.997876,40.746105,,282 8TH AVE
New York,625109,Store,A,RITE AID OF NEW YORK INC,RITE AID PHARMACY 04196,188,9TH AVE,,,NEW YORK,NY,10011,0,-74.001936,40.745639,,188 9TH AVE
New York,625107,Store,A,RITE AID OF NEW YORK INC,RITE AID PHARMACY 04202,7,MADISON ST,,,NEW YORK,NY,10038,20000,-74.000194,40.71174,,7 MADISON ST
New York,625106,Store,A,RITE AID OF NEW YORK INC,RITE AID PHARMACY 04205,81,1ST AVE,,,NEW YORK,NY,10003,0,-73.986728,40.725666,,81 1ST AVE
New York,625101,Store,A,RITE AID OF NEW YORK INC,RITE AID PHARMACY 01225,534,HUDSON ST,,,NEW YORK,NY,10014,3000,-74.006192,40.734274,,534 HUDSON ST
New York,625099,Store,A,RITE AID OF NEW YORK INC,RITE AID PHARMACY 02727,1510,SAINT NICHOLAS AVE,,,NEW YORK,NY,10033,15000,-73.931624,40.852201,,1510 SAINT NICHOLAS AVE
New York,625081,Store,A,UNIVERSAL NEWS NYC GROUP CORP,UNIVERSAL NEWS,234,W 42ND ST,,,NEW YORK,NY,10036,1000,-73.988739,40.7568,,234 W 42ND ST
New York,625080,Store,JAC,SMZ IMPEX INC,VILLAGE FARM&GROCERY,146,2ND AVE,,,NEW YORK,NY,10003,4500,-73.987104,40.729341,,146 2ND AVE
New York,625078,Store,JACK,WHOLE FOODS MARKET GROUP INC,WHOLE FOODS MARKET,10,COLUMBUS CIRCLE SUITE SC101,,,NEW YORK,NY,10019,59000,-73.982344,40.768189,,10 COLUMBUS CIRCLE SUITE SC101
New York,625040,Store,JAC,MINI DELI OF BIG APPLE INC,MINI DELI,1266,2ND AVE,,,NEW YORK,NY,10065,1800,-73.960977,40.76519,,1266 2ND AVE
New York,625021,Store,JAC,IDI PROJECTS INC,SUNRISE MART SOHO,492-494,BROOME ST,,,NEW YORK,NY,10013,7000,-74.00259,40.723128,,492-494 BROOME ST
New York,625014,Store,JAC,WALGREEN EASTERN CO INC,WALGREENS #06159,145,FOURTH AVE,,,NEW YORK,NY,10003,1200,-73.989829,40.733728,,145 FOURTH AVE
New York,625013,Store,JAC,WALGREEN EASTERN CO INC,WALGREENS #06160,350,FIFTH AVE,,,NEW YORK,NY,10018,18000,-73.98383,40.749459,,350 FIFTH AVE
New York,625012,Store,JAC,ARIMERBEN CO INC,MURRAYS STURGEON SHOP,2429,BROADWAY,,,NEW YORK,NY,10024,1200,-73.974927,40.790529,,2429 BROADWAY
New York,624988,Store,JAC,YORK&GEORGY INC,ALASKA FOOD MARKET,108,9TH AVE,,,NEW YORK,NY,10011,2000,-74.003892,40.742977,,108 9TH AVE
New York,624985,Store,A,ARAMARK SERVICES INC,ARAMARK SERVICES 0299,1515,BROADWAY 2ND FL,,,NEW YORK,NY,10036,500,-73.985653,40.75756,,1515 BROADWAY 2ND FL
New York,624976,Store,JAC,SONS FREEDOM MARKET INC,SONS FREEDOM MARKET,1043,"LEXINGTON AVE, 1ST FLR",,,NEW YORK,NY,10021,2500,-73.961034,40.772035,,"1043 LEXINGTON AVE, 1ST FLR"
New York,624970,Store,JAC,JBSR ASSOCIATES LLC,IDEAL CHEESE SHOP,942,1ST AVE,,,NEW YORK,NY,10022,2500,-73.965356,40.754966,,942 1ST AVE
New York,624947,Store,JAC,MENTA INC,DISHES AT HOME,58,GRAND CENTRAL TERMINAL,,,NEW YORK,NY,10017,500,-73.97866,40.752551,,58 GRAND CENTRAL TERMINAL
New York,624937,Store,JAC,PS MEAT CORP,C TOWN,238,WEST 116TH ST,,,NEW YORK,NY,10026,8000,-73.954185,40.803924,,238 WEST 116TH ST
New York,624933,Store,A,CVS ALBANY LLC,CVS PHARMACY 05772,1500,LEXINGTON AVE,,,NEW YORK,NY,10029,22000,-73.950501,40.786461,,1500 LEXINGTON AVE
New York,624928,Store,JAC,LUNA BROTHERS INC,C TOWN,3632,BROADWAY,,,NEW YORK,NY,10031,18000,-73.948171,40.829362,,3632 BROADWAY
New York,624898,Store,A,CVS ALBANY LLC,CVS PHARMACY 02717,1294,LEXINGTON AVE,,,NEW YORK,NY,10128,5000,-73.954906,40.780389,,1294 LEXINGTON AVE
New York,624892,Store,JAC,168 FRUIT&VEGETABLE CORP,168 FRUIT&VEGETABLE,168,7TH AVE,,,NEW YORK,NY,10011,0,-73.997084,40.742117,,168 7TH AVE
New York,624880,Store,JABC,MIYZEL CHOCOLATE INC,MIYZEL CHOCOLATE,140,W 55TH ST,,,NEW YORK,NY,10019,1000,-73.979785,40.76374,,140 W 55TH ST
New York,624875,Store,A,GOOD HARVEST COOPERATIVE INC,4TH STREET FOOD,58,E 4TH ST,,,NEW YORK,NY,10003,1000,-73.990717,40.726734,,58 E 4TH ST
New York,624855,Store,JAC,GOLDEN DELI GROCERY CORP,NEW GOLDEN GATE DELI GY,2210,5TH AVE,,,NEW YORK,NY,10037,3000,-73.937764,40.812553,,2210 5TH AVE
New York,624832,Store,A,RITE AID OF NEW YORK INC,RITE AID 4964,26,GRAND CENTRAL TERMINAL,,,NEW YORK,NY,10017,7000,-73.979904,40.753074,,26 GRAND CENTRAL TERMINAL
New York,624827,Store,A,LAST STOP CONVENIENCE CORP,LAST STOP,4973,BROADWAY,,,NEW YORK,NY,10034,800,-73.919456,40.868195,,4973 BROADWAY
New York,624820,Store,JAC,681 TIMES SQUARE CORP,PORT DELI&GROCERY,681,8TH AVE,,,NEW YORK,NY,10036,1200,-73.989185,40.758092,,681 8TH AVE
New York,624809,Store,JABC,JAV FOOD CORP,AGATA&VALENTINA,1505,1ST AVE,,,NEW YORK,NY,10075,7000,-73.952858,40.772108,,1505 1ST AVE
New York,624780,Store,JAC,7 PARK AVENUE FOODS INC,GREEN LEAF GOURMET MKT,7,PARK AVE,,,NEW YORK,NY,10016,2000,-73.981106,40.747271,,7 PARK AVE
New York,624777,Store,JAC,ALAN FARMLAND LTD,ALANS FARMLAND,27,COLUMBUS AVE,,,NEW YORK,NY,10023,900,-73.984148,40.770073,,27 COLUMBUS AVE
New York,624745,Store,JAC,ALIDORO CORP,ALIDORO,105,SULLIVAN ST,,,NEW YORK,NY,10012,1200,-74.00293,40.725761,,105 SULLIVAN ST
New York,624741,Store,A,DONG FANG GINSENG CORP,DONG FANG GINSENG,75,"E BROADWAY, #116",,,NEW YORK,NY,10002,400,-73.994064,40.713715,,"75 E BROADWAY, #116"
New York,624723,Store,A,GENERAL NUTRITION INC,GNC 3286,625,8TH AVE,,,NEW YORK,NY,10018,2500,-73.990466,40.7563,,625 8TH AVE
New York,624707,Store,A,CVS ALBANY LLC,CVS PHARMACY 03224,130,LENOX AVE,,,NEW YORK,NY,10026,4000,-73.949241,40.802497,,130 LENOX AVE
New York,624706,Store,A,JANE STREET CONVNT STR INC,CONVENIENCE STORE,46,8TH AVE,,,NEW YORK,NY,10014,900,-74.003785,40.73847,,46 8TH AVE
New York,624697,Store,A,SOLIS VICENTE ANGEL,YUCA MEXICAN PRODUCE &,1345-9,AMSTERDAM AVE,,,NEW YORK,NY,10027,600,-73.95598,40.813776,,1345-9 AMSTERDAM AVE
New York,624683,Store,JAC,LMC 49TH INC,LA MAISON DU CHOCOLAT,30,ROCKEFELLER CENTER PLAZA,,,NEW YORK,NY,10020,1500,-73.978668,40.758779,,30 ROCKEFELLER CENTER PLAZA
New York,624671,Store,JAC,ST NICKS 1633 FOOD CENTER CORP,ST NICKS 1633 FOOD CTR,1633,ST NICHOLAS AVE,,,NEW YORK,NY,10040,1800,-73.928883,40.855953,,1633 ST NICHOLAS AVE
New York,624652,Store,JAC,VILLAGE ENTERPRISES LLC,CITARELLA,424,6TH AVE,,,NEW YORK,NY,10011,15000,-73.99905,40.734302,,424 6TH AVE
New York,624631,Store,JAC,987 SUPERMARKET INC,LOS VECINOS MEAT MKT,987,AMSTERDAM AVE,,,NEW YORK,NY,10025,1500,-73.964546,40.802028,,987 AMSTERDAM AVE
New York,624597,Store,A,MID ATLANTIC CONVIENCE INC,MID ATLANTIC CONV,40,W 39TH ST,,,NEW YORK,NY,10018,1800,-73.984115,40.75236,,40 W 39TH ST
New York,624595,Store,JAC,840 ST NICHOLAS FOOD CORP,840 ST NICHOLAS FD MKT,840,ST NICHOLAS AVE,,,NEW YORK,NY,10031,1700,-73.942196,40.828826,,840 ST NICHOLAS AVE
New York,624559,Store,JAC,SUPER VALUE MEAT MARKET CORP,SUPER VALUE MEAT MARKET,3461,BROADWAY,,,NEW YORK,NY,10031,3000,-73.952265,40.824119,,3461 BROADWAY
New York,624550,Store,JAC,STEP DOWN TO NATURE INC,HEALTH NUTS THE,835,2ND AVE,,,NEW YORK,NY,10017,2500,-73.97101,40.751464,,835 2ND AVE
New York,624546,Store,JAC,SHISHA DELI INC,SMILERS DELI,637,9TH AVE,,,NEW YORK,NY,10036,3000,-73.991327,40.760216,,637 9TH AVE
New York,624540,Store,JAC,MURRAYS CHEESE LLC,MURRAYS CHEESE,73,GRAND CENTRAL TERMINAL,,,NEW YORK,NY,10017,800,-73.978289,40.752394,,73 GRAND CENTRAL TERMINAL
New York,624523,Store,JAC,MARIBELS SWEETS INC,MARIE BELLE FINE TREETS,484,BROOME ST,,,NEW YORK,NY,10013,1800,-74.002402,40.723034,,484 BROOME ST
New York,624522,Store,JKA,LEADER DAN,BREAD ALONE,,E 17TH ST & UNION SQ,,,NEW YORK,NY,10003,50,-73.988987,40.731969,, E 17TH ST & UNION SQ
New York,624521,Store,JKA,KESLER JAMES,TREE-LICIOUS ORCHARD,,E 17TH ST & UNION SQ,,,NEW YORK,NY,10003,50,-73.988987,40.731969,, E 17TH ST & UNION SQ
